,Year,Cause of death,Race,Deaths
389,2020.0,Liver cell carcinoma - Malignant neoplasms,American Indian or Alaska Native,12.0
390,2020.0,Liver cell carcinoma - Malignant neoplasms,Asian or Pacific Islander,10.0
391,2020.0,Liver cell carcinoma - Malignant neoplasms,Black or African American,14.0
392,2020.0,Liver cell carcinoma - Malignant neoplasms,White,232.0
393,2020.0,Intrahepatic bile duct carcinoma - Malignant neoplasms,American Indian or Alaska Native,10.0
394,2020.0,Intrahepatic bile duct carcinoma - Malignant neoplasms,White,130.0
395,2020.0,"Liver, unspecified - Malignant neoplasms",White,197.0
396,2020.0,Malignant neoplasm of gallbladder,White,30.0
397,2020.0,Extrahepatic bile duct - Malignant neoplasms,White,21.0
398,2020.0,"Biliary tract, unspecified - Malignant neoplasms",White,19.0
399,2020.0,Head of pancreas - Malignant neoplasms,White,13.0
400,2020.0,Pancreatic duct - Malignant neoplasms,White,15.0
401,2020.0,"Pancreas, unspecified - Malignant neoplasms",American Indian or Alaska Native,36.0
402,2020.0,"Pancreas, unspecified - Malignant neoplasms",Asian or Pacific Islander,25.0
403,2020.0,"Pancreas, unspecified - Malignant neoplasms",Black or African American,29.0
404,2020.0,"Pancreas, unspecified - Malignant neoplasms",White,877.0
405,2020.0,Ill-defined sites within the digestive system - Malignant neoplasms,White,36.0
406,2020.0,"Larynx, unspecified - Malignant neoplasms",White,63.0
407,2020.0,"Upper lobe, bronchus or lung - Malignant neoplasms",White,43.0
408,2020.0,"Lower lobe, bronchus or lung - Malignant neoplasms",White,25.0
409,2020.0,"Bronchus or lung, unspecified - Malignant neoplasms",American Indian or Alaska Native,26.0
410,2020.0,"Bronchus or lung, unspecified - Malignant neoplasms",Asian or Pacific Islander,41.0
411,2020.0,"Bronchus or lung, unspecified - Malignant neoplasms",Black or African American,98.0
412,2020.0,"Bronchus or lung, unspecified - Malignant neoplasms",White,2339.0
413,2020.0,"Bone and articular cartilage, unspecified - Malignant neoplasms",White,16.0
414,2020.0,"Malignant melanoma of skin, unspecified - Malignant neoplasms",White,187.0
415,2020.0,Skin of other and unspecified parts of face - Malignant neoplasms,White,10.0
416,2020.0,Skin of scalp and neck - Malignant neoplasms,White,54.0
417,2020.0,"Malignant neoplasm of skin, unspecified - Malignant neoplasms",White,50.0
418,2020.0,Mesothelioma of other sites - Malignant neoplasms,White,12.0
419,2020.0,"Mesothelioma, unspecified - Malignant neoplasms",White,28.0
420,2020.0,"Peritoneum, unspecified - Malignant neoplasms",White,21.0
421,2020.0,"Connective and soft tissue, unspecified - Malignant neoplasms",White,52.0
422,2020.0,"Breast, unspecified - Malignant neoplasms",American Indian or Alaska Native,10.0
423,2020.0,"Breast, unspecified - Malignant neoplasms",Asian or Pacific Islander,20.0
424,2020.0,"Breast, unspecified - Malignant neoplasms",Black or African American,42.0
425,2020.0,"Breast, unspecified - Malignant neoplasms",White,808.0
426,2020.0,"Vulva, unspecified - Malignant neoplasms",White,21.0
427,2020.0,"Cervix uteri, unspecified - Malignant neoplasms",White,66.0
428,2020.0,Endometrium - Malignant neoplasms,White,106.0
429,2020.0,"Malignant neoplasm of uterus, part unspecified",Black or African American,10.0
430,2020.0,"Malignant neoplasm of uterus, part unspecified",White,69.0
431,2020.0,Malignant neoplasm of ovary,American Indian or Alaska Native,12.0
432,2020.0,Malignant neoplasm of ovary,White,269.0
433,2020.0,Fallopian tube - Malignant neoplasms,White,10.0
434,2020.0,"Female genital organ, unspecified - Malignant neoplasms",White,10.0
435,2020.0,Malignant neoplasm of prostate,American Indian or Alaska Native,15.0
436,2020.0,Malignant neoplasm of prostate,Black or African American,42.0
437,2020.0,Malignant neoplasm of prostate,White,731.0
438,2020.0,"Testis, unspecified - Malignant neoplasms",White,13.0
439,2020.0,"Malignant neoplasm of kidney, except renal pelvis",American Indian or Alaska Native,19.0
440,2020.0,"Malignant neoplasm of kidney, except renal pelvis",Black or African American,10.0
441,2020.0,"Malignant neoplasm of kidney, except renal pelvis",White,293.0
442,2020.0,"Bladder, unspecified - Malignant neoplasms",White,397.0
443,2020.0,Temporal lobe - Malignant neoplasms,White,10.0
444,2020.0,"Brain, unspecified - Malignant neoplasms",White,332.0
445,2020.0,Malignant neoplasm of thyroid gland,White,47.0
446,2020.0,"Adrenal gland, unspecified - Malignant neoplasms",White,11.0
447,2020.0,"Head, face and neck - Malignant neoplasms",White,16.0
448,2020.0,Secondary malignant neoplasm of retroperitoneum and peritoneum - Malignant neoplasms,White,16.0
449,2020.0,Secondary malignant neoplasm of liver - Malignant neoplasms,White,35.0
450,2020.0,Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms,White,20.0
451,2020.0,Secondary malignant neoplasm of other specified sites - Malignant neoplasms,White,46.0
452,2020.0,Malignant neoplasm without specification of site,American Indian or Alaska Native,17.0
453,2020.0,Malignant neoplasm without specification of site,Black or African American,27.0
454,2020.0,Malignant neoplasm without specification of site,White,511.0
455,2020.0,"Hodgkin disease, unspecified",White,18.0
456,2020.0,"Follicular non-Hodgkin lymphoma, unspecified",White,17.0
457,2020.0,Non-Hodgkin lymphoma small cleaved cell (diffuse),White,30.0
458,2020.0,Non-Hodgkin lymphoma large cell (diffuse),White,87.0
459,2020.0,Other and unspecified T-cell lymphomas - Malignant neoplasms,White,13.0
460,2020.0,"B-cell lymphoma, unspecified - Malignant neoplasms",White,78.0
461,2020.0,"Non-Hodgkin lymphoma, unspecified type",White,170.0
462,2020.0,Multiple myeloma - Malignant neoplasms,Black or African American,13.0
463,2020.0,Multiple myeloma - Malignant neoplasms,White,258.0
464,2020.0,Acute lymphoblastic leukaemia - Malignant neoplasms,White,28.0
465,2020.0,Chronic lymphocytic leukaemia - Malignant neoplasms,White,90.0
466,2020.0,Acute myeloid leukaemia - Malignant neoplasms,White,215.0
467,2020.0,Chronic myeloid leukaemia - Malignant neoplasms,White,22.0
468,2020.0,Other myeloid leukaemia - Malignant neoplasms,White,18.0
469,2020.0,Acute leukaemia of unspecified cell type - Malignant neoplasms,White,33.0
470,2020.0,"Leukaemia, unspecified - Malignant neoplasms",White,32.0
471,2020.0,Malignant neoplasms of independent (primary) multiple sites,White,99.0
472,2020.0,"Meninges, unspecified - Benign neoplasms",White,12.0
473,2020.0,"Liver, gallbladder and bile ducts - Uncertain neoplasms",White,10.0
474,2020.0,"Trachea, bronchus and lung - Uncertain neoplasms",White,23.0
475,2020.0,"Brain, unspecified - Uncertain neoplasms",White,29.0
476,2020.0,"Myelodysplastic syndrome, unspecified - Uncertain neoplasms",White,190.0
477,2020.0,Chronic myeloproliferative disease - Uncertain neoplasms,White,20.0
478,2020.0,Connective and other soft tissue - Uncertain neoplasms,White,11.0
479,2020.0,"Neoplasm of uncertain or unknown behaviour, unspecified - Uncertain neoplasms",White,19.0
551,2020.0,"Tongue, unspecified - Malignant neoplasms",White,15.0
552,2020.0,"Mouth, unspecified - Malignant neoplasms",White,17.0
553,2020.0,"Pharynx, unspecified - Malignant neoplasms",White,21.0
554,2020.0,"Oesophagus, unspecified - Malignant neoplasms",White,141.0
555,2020.0,"Stomach, unspecified - Malignant neoplasms",Black or African American,27.0
556,2020.0,"Stomach, unspecified - Malignant neoplasms",White,64.0
557,2020.0,Ascending colon - Malignant neoplasms,White,11.0
558,2020.0,Sigmoid colon - Malignant neoplasms,White,12.0
559,2020.0,"Colon, unspecified - Malignant neoplasms",Black or African American,76.0
560,2020.0,"Colon, unspecified - Malignant neoplasms",White,327.0
561,2020.0,Malignant neoplasm of rectosigmoid junction,White,20.0
562,2020.0,Malignant neoplasm of rectum,White,52.0
563,2020.0,"Anus, unspecified - Malignant neoplasms",White,11.0
564,2020.0,Liver cell carcinoma - Malignant neoplasms,Black or African American,12.0
565,2020.0,Liver cell carcinoma - Malignant neoplasms,White,83.0
566,2020.0,Intrahepatic bile duct carcinoma - Malignant neoplasms,White,57.0
567,2020.0,"Liver, unspecified - Malignant neoplasms",Black or African American,18.0
568,2020.0,"Liver, unspecified - Malignant neoplasms",White,132.0
569,2020.0,Malignant neoplasm of gallbladder,White,15.0
570,2020.0,Extrahepatic bile duct - Malignant neoplasms,White,11.0
571,2020.0,"Pancreas, unspecified - Malignant neoplasms",Black or African American,59.0
572,2020.0,"Pancreas, unspecified - Malignant neoplasms",White,341.0
573,2020.0,Ill-defined sites within the digestive system - Malignant neoplasms,White,21.0
574,2020.0,"Larynx, unspecified - Malignant neoplasms",White,27.0
575,2020.0,"Upper lobe, bronchus or lung - Malignant neoplasms",White,57.0
576,2020.0,"Lower lobe, bronchus or lung - Malignant neoplasms",White,26.0
577,2020.0,"Bronchus or lung, unspecified - Malignant neoplasms",Asian or Pacific Islander,13.0
578,2020.0,"Bronchus or lung, unspecified - Malignant neoplasms",Black or African American,195.0
579,2020.0,"Bronchus or lung, unspecified - Malignant neoplasms",White,1552.0
580,2020.0,"Bone and articular cartilage, unspecified - Malignant neoplasms",White,14.0
581,2020.0,"Malignant melanoma of skin, unspecified - Malignant neoplasms",White,64.0
582,2020.0,"Malignant neoplasm of skin, unspecified - Malignant neoplasms",White,20.0
583,2020.0,"Mesothelioma, unspecified - Malignant neoplasms",White,14.0
584,2020.0,"Connective and soft tissue, unspecified - Malignant neoplasms",White,21.0
585,2020.0,"Breast, unspecified - Malignant neoplasms",Black or African American,72.0
586,2020.0,"Breast, unspecified - Malignant neoplasms",White,333.0
587,2020.0,"Vulva, unspecified - Malignant neoplasms",White,10.0
588,2020.0,"Cervix uteri, unspecified - Malignant neoplasms",White,39.0
589,2020.0,Endometrium - Malignant neoplasms,Black or African American,11.0
590,2020.0,Endometrium - Malignant neoplasms,White,30.0
591,2020.0,"Malignant neoplasm of uterus, part unspecified",Black or African American,11.0
592,2020.0,"Malignant neoplasm of uterus, part unspecified",White,28.0
593,2020.0,Malignant neoplasm of ovary,Black or African American,14.0
594,2020.0,Malignant neoplasm of ovary,White,106.0
595,2020.0,Malignant neoplasm of prostate,Black or African American,54.0
596,2020.0,Malignant neoplasm of prostate,White,256.0
597,2020.0,"Malignant neoplasm of kidney, except renal pelvis",Black or African American,21.0
598,2020.0,"Malignant neoplasm of kidney, except renal pelvis",White,153.0
599,2020.0,"Bladder, unspecified - Malignant neoplasms",Black or African American,12.0
600,2020.0,"Bladder, unspecified - Malignant neoplasms",White,150.0
601,2020.0,Frontal lobe - Malignant neoplasms,White,13.0
602,2020.0,"Brain, unspecified - Malignant neoplasms",Black or African American,12.0
603,2020.0,"Brain, unspecified - Malignant neoplasms",White,149.0
604,2020.0,Malignant neoplasm of thyroid gland,White,18.0
605,2020.0,Secondary malignant neoplasm of liver - Malignant neoplasms,White,14.0
606,2020.0,Secondary malignant neoplasm of other specified sites - Malignant neoplasms,White,20.0
607,2020.0,Malignant neoplasm without specification of site,Black or African American,26.0
608,2020.0,Malignant neoplasm without specification of site,White,193.0
609,2020.0,Non-Hodgkin lymphoma small cleaved cell (diffuse),White,13.0
610,2020.0,Non-Hodgkin lymphoma large cell (diffuse),White,44.0
611,2020.0,"B-cell lymphoma, unspecified - Malignant neoplasms",White,43.0
612,2020.0,"Non-Hodgkin lymphoma, unspecified type",White,55.0
613,2020.0,Multiple myeloma - Malignant neoplasms,Black or African American,26.0
614,2020.0,Multiple myeloma - Malignant neoplasms,White,92.0
615,2020.0,Acute lymphoblastic leukaemia - Malignant neoplasms,White,11.0
616,2020.0,Chronic lymphocytic leukaemia - Malignant neoplasms,White,31.0
617,2020.0,Acute myeloid leukaemia - Malignant neoplasms,White,78.0
618,2020.0,"Leukaemia, unspecified - Malignant neoplasms",White,41.0
619,2020.0,Malignant neoplasms of independent (primary) multiple sites,White,113.0
620,2020.0,"Trachea, bronchus and lung - Uncertain neoplasms",White,20.0
621,2020.0,"Brain, unspecified - Uncertain neoplasms",White,15.0
622,2020.0,"Myelodysplastic syndrome, unspecified - Uncertain neoplasms",White,56.0
909,2020.0,Malignant neoplasm of base of tongue,White,13.0
910,2020.0,"Tongue, unspecified - Malignant neoplasms",Asian or Pacific Islander,30.0
911,2020.0,"Tongue, unspecified - Malignant neoplasms",White,247.0
912,2020.0,"Mouth, unspecified - Malignant neoplasms",Asian or Pacific Islander,15.0
913,2020.0,"Mouth, unspecified - Malignant neoplasms",White,67.0
914,2020.0,Malignant neoplasm of parotid gland,Asian or Pacific Islander,11.0
915,2020.0,Malignant neoplasm of parotid gland,White,72.0
916,2020.0,Submandibular gland - Malignant neoplasms,White,12.0
917,2020.0,"Major salivary gland, unspecified - Malignant neoplasms",White,29.0
918,2020.0,"Tonsil, unspecified - Malignant neoplasms",Black or African American,13.0
919,2020.0,"Tonsil, unspecified - Malignant neoplasms",White,86.0
920,2020.0,"Oropharynx, unspecified - Malignant neoplasms",Black or African American,15.0
921,2020.0,"Oropharynx, unspecified - Malignant neoplasms",White,137.0
922,2020.0,"Nasopharynx, unspecified - Malignant neoplasms",Asian or Pacific Islander,65.0
923,2020.0,"Nasopharynx, unspecified - Malignant neoplasms",White,37.0
924,2020.0,"Hypopharynx, unspecified - Malignant neoplasms",White,19.0
925,2020.0,"Pharynx, unspecified - Malignant neoplasms",Black or African American,14.0
926,2020.0,"Pharynx, unspecified - Malignant neoplasms",White,95.0
927,2020.0,Lower third of oesophagus - Malignant neoplasms,White,28.0
928,2020.0,"Oesophagus, unspecified - Malignant neoplasms",American Indian or Alaska Native,10.0
929,2020.0,"Oesophagus, unspecified - Malignant neoplasms",Asian or Pacific Islander,109.0
930,2020.0,"Oesophagus, unspecified - Malignant neoplasms",Black or African American,53.0
931,2020.0,"Oesophagus, unspecified - Malignant neoplasms",White,1109.0
932,2020.0,Cardia - Malignant neoplasms,Asian or Pacific Islander,15.0
933,2020.0,Cardia - Malignant neoplasms,White,128.0
934,2020.0,"Stomach, unspecified - Malignant neoplasms",American Indian or Alaska Native,10.0
935,2020.0,"Stomach, unspecified - Malignant neoplasms",Asian or Pacific Islander,335.0
936,2020.0,"Stomach, unspecified - Malignant neoplasms",Black or African American,115.0
937,2020.0,"Stomach, unspecified - Malignant neoplasms",White,1104.0
938,2020.0,Duodenum - Malignant neoplasms,Asian or Pacific Islander,23.0
939,2020.0,Duodenum - Malignant neoplasms,Black or African American,16.0
940,2020.0,Duodenum - Malignant neoplasms,White,87.0
941,2020.0,"Small intestine, unspecified - Malignant neoplasms",White,46.0
942,2020.0,Caecum - Malignant neoplasms,Black or African American,14.0
943,2020.0,Caecum - Malignant neoplasms,White,57.0
944,2020.0,Appendix - Malignant neoplasms,Asian or Pacific Islander,15.0
945,2020.0,Appendix - Malignant neoplasms,White,68.0
946,2020.0,Ascending colon - Malignant neoplasms,White,33.0
947,2020.0,Transverse colon - Malignant neoplasms,White,15.0
948,2020.0,Sigmoid colon - Malignant neoplasms,Asian or Pacific Islander,24.0
949,2020.0,Sigmoid colon - Malignant neoplasms,White,76.0
950,2020.0,"Colon, unspecified - Malignant neoplasms",American Indian or Alaska Native,34.0
951,2020.0,"Colon, unspecified - Malignant neoplasms",Asian or Pacific Islander,543.0
952,2020.0,"Colon, unspecified - Malignant neoplasms",Black or African American,341.0
953,2020.0,"Colon, unspecified - Malignant neoplasms",White,2920.0
954,2020.0,Malignant neoplasm of rectosigmoid junction,Asian or Pacific Islander,39.0
955,2020.0,Malignant neoplasm of rectosigmoid junction,Black or African American,17.0
956,2020.0,Malignant neoplasm of rectosigmoid junction,White,251.0
957,2020.0,Malignant neoplasm of rectum,Asian or Pacific Islander,125.0
958,2020.0,Malignant neoplasm of rectum,Black or African American,55.0
959,2020.0,Malignant neoplasm of rectum,White,683.0
960,2020.0,"Anus, unspecified - Malignant neoplasms",Asian or Pacific Islander,11.0
961,2020.0,"Anus, unspecified - Malignant neoplasms",White,110.0
962,2020.0,Anal canal - Malignant neoplasms,White,14.0
963,2020.0,"Overlapping lesion of rectum, anus and anal canal - Malignant neoplasms",White,14.0
964,2020.0,Liver cell carcinoma - Malignant neoplasms,American Indian or Alaska Native,26.0
965,2020.0,Liver cell carcinoma - Malignant neoplasms,Asian or Pacific Islander,296.0
966,2020.0,Liver cell carcinoma - Malignant neoplasms,Black or African American,98.0
967,2020.0,Liver cell carcinoma - Malignant neoplasms,White,1061.0
968,2020.0,Intrahepatic bile duct carcinoma - Malignant neoplasms,Asian or Pacific Islander,171.0
969,2020.0,Intrahepatic bile duct carcinoma - Malignant neoplasms,Black or African American,58.0
970,2020.0,Intrahepatic bile duct carcinoma - Malignant neoplasms,White,676.0
971,2020.0,"Liver, unspecified - Malignant neoplasms",American Indian or Alaska Native,17.0
972,2020.0,"Liver, unspecified - Malignant neoplasms",Asian or Pacific Islander,196.0
973,2020.0,"Liver, unspecified - Malignant neoplasms",Black or African American,66.0
974,2020.0,"Liver, unspecified - Malignant neoplasms",White,779.0
975,2020.0,Malignant neoplasm of gallbladder,Asian or Pacific Islander,38.0
976,2020.0,Malignant neoplasm of gallbladder,Black or African American,20.0
977,2020.0,Malignant neoplasm of gallbladder,White,266.0
978,2020.0,Extrahepatic bile duct - Malignant neoplasms,White,78.0
979,2020.0,Ampulla of Vater - Malignant neoplasms,White,40.0
