Notes,State,State Code,Year,Year Code,Cause of death,Cause of death Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
,Alabama,1,2020,2020,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,55-64 years,55-64,18,657281,Unreliable
,Alabama,1,2020,2020,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,45-54 years,45-54,10,608174,Unreliable
,Alabama,1,2020,2020,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,55-64 years,55-64,12,657281,Unreliable
,Alabama,1,2020,2020,"Breast, unspecified - Malignant neoplasms",C50.9,45-54 years,45-54,73,608174,12
,Alabama,1,2020,2020,"Breast, unspecified - Malignant neoplasms",C50.9,55-64 years,55-64,132,657281,20.1
,Alabama,1,2020,2020,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,45-54 years,45-54,16,608174,Unreliable
,Alabama,1,2020,2020,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,55-64 years,55-64,22,657281,3.3
,Alabama,1,2020,2020,Endometrium - Malignant neoplasms,C54.1,55-64 years,55-64,18,657281,Unreliable
,Alabama,1,2020,2020,"Malignant neoplasm of uterus, part unspecified",C55,55-64 years,55-64,15,657281,Unreliable
,Alabama,1,2020,2020,Malignant neoplasm of ovary,C56,45-54 years,45-54,17,608174,Unreliable
,Alabama,1,2020,2020,Malignant neoplasm of ovary,C56,55-64 years,55-64,43,657281,6.5
,Alabama,1,2020,2020,Malignant neoplasm of prostate,C61,55-64 years,55-64,52,657281,7.9
,Alabama,1,2020,2020,"Malignant neoplasm of kidney, except renal pelvis",C64,45-54 years,45-54,11,608174,Unreliable
,Alabama,1,2020,2020,"Malignant neoplasm of kidney, except renal pelvis",C64,55-64 years,55-64,43,657281,6.5
,Alabama,1,2020,2020,"Bladder, unspecified - Malignant neoplasms",C67.9,55-64 years,55-64,38,657281,5.8
,Alabama,1,2020,2020,"Brain, unspecified - Malignant neoplasms",C71.9,45-54 years,45-54,26,608174,4.3
,Alabama,1,2020,2020,"Brain, unspecified - Malignant neoplasms",C71.9,55-64 years,55-64,60,657281,9.1
,Alabama,1,2020,2020,Malignant neoplasm without specification of site,C80,45-54 years,45-54,32,608174,5.3
,Alabama,1,2020,2020,Malignant neoplasm without specification of site,C80,55-64 years,55-64,111,657281,16.9
,Alabama,1,2020,2020,Non-Hodgkin lymphoma large cell (diffuse),C83.3,55-64 years,55-64,10,657281,Unreliable
,Alabama,1,2020,2020,"B-cell lymphoma, unspecified - Malignant neoplasms",C85.1,55-64 years,55-64,10,657281,Unreliable
,Alabama,1,2020,2020,"Non-Hodgkin lymphoma, unspecified type",C85.9,55-64 years,55-64,18,657281,Unreliable
,Alabama,1,2020,2020,Multiple myeloma - Malignant neoplasms,C90.0,55-64 years,55-64,26,657281,4
,Alabama,1,2020,2020,Acute myeloid leukaemia - Malignant neoplasms,C92.0,55-64 years,55-64,28,657281,4.3
,Alabama,1,2020,2020,"Leukaemia, unspecified - Malignant neoplasms",C95.9,55-64 years,55-64,10,657281,Unreliable
,Alabama,1,2020,2020,Malignant neoplasms of independent (primary) multiple sites,C97,55-64 years,55-64,23,657281,3.5
,Alaska,2,2019,2019,"Colon, unspecified - Malignant neoplasms",C18.9,55-64 years,55-64,19,93339,Unreliable
,Alaska,2,2019,2019,Liver cell carcinoma - Malignant neoplasms,C22.0,55-64 years,55-64,12,93339,Unreliable
,Alaska,2,2019,2019,"Pancreas, unspecified - Malignant neoplasms",C25.9,55-64 years,55-64,16,93339,Unreliable
,Alaska,2,2019,2019,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,55-64 years,55-64,51,93339,54.6
,Alaska,2,2019,2019,"Breast, unspecified - Malignant neoplasms",C50.9,55-64 years,55-64,18,93339,Unreliable
,Alaska,2,2019,2019,Malignant neoplasm without specification of site,C80,55-64 years,55-64,12,93339,Unreliable
,Alaska,2,2020,2020,"Colon, unspecified - Malignant neoplasms",C18.9,55-64 years,55-64,15,91536,Unreliable
,Alaska,2,2020,2020,"Pancreas, unspecified - Malignant neoplasms",C25.9,55-64 years,55-64,17,91536,Unreliable
,Alaska,2,2020,2020,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,45-54 years,45-54,10,83476,Unreliable
,Alaska,2,2020,2020,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,55-64 years,55-64,54,91536,59
,Alaska,2,2020,2020,"Breast, unspecified - Malignant neoplasms",C50.9,55-64 years,55-64,19,91536,Unreliable
,Alaska,2,2020,2020,Malignant neoplasm without specification of site,C80,55-64 years,55-64,12,91536,Unreliable
,Arizona,4,2019,2019,"Tongue, unspecified - Malignant neoplasms",C02.9,55-64 years,55-64,14,880794,Unreliable
,Arizona,4,2019,2019,"Oropharynx, unspecified - Malignant neoplasms",C10.9,55-64 years,55-64,10,880794,Unreliable
,Arizona,4,2019,2019,"Oesophagus, unspecified - Malignant neoplasms",C15.9,45-54 years,45-54,24,852090,2.8
,Arizona,4,2019,2019,"Oesophagus, unspecified - Malignant neoplasms",C15.9,55-64 years,55-64,58,880794,6.6
,Arizona,4,2019,2019,"Stomach, unspecified - Malignant neoplasms",C16.9,45-54 years,45-54,22,852090,2.6
,Arizona,4,2019,2019,"Stomach, unspecified - Malignant neoplasms",C16.9,55-64 years,55-64,29,880794,3.3
,Arizona,4,2019,2019,"Colon, unspecified - Malignant neoplasms",C18.9,45-54 years,45-54,54,852090,6.3
,Arizona,4,2019,2019,"Colon, unspecified - Malignant neoplasms",C18.9,55-64 years,55-64,164,880794,18.6
,Arizona,4,2019,2019,Malignant neoplasm of rectosigmoid junction,C19,55-64 years,55-64,20,880794,2.3
,Arizona,4,2019,2019,Malignant neoplasm of rectum,C20,45-54 years,45-54,15,852090,Unreliable
,Arizona,4,2019,2019,Malignant neoplasm of rectum,C20,55-64 years,55-64,24,880794,2.7
,Arizona,4,2019,2019,Liver cell carcinoma - Malignant neoplasms,C22.0,45-54 years,45-54,15,852090,Unreliable
,Arizona,4,2019,2019,Liver cell carcinoma - Malignant neoplasms,C22.0,55-64 years,55-64,90,880794,10.2
,Arizona,4,2019,2019,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,55-64 years,55-64,33,880794,3.7
,Arizona,4,2019,2019,"Liver, unspecified - Malignant neoplasms",C22.9,55-64 years,55-64,51,880794,5.8
,Arizona,4,2019,2019,"Pancreas, unspecified - Malignant neoplasms",C25.9,45-54 years,45-54,43,852090,5
,Arizona,4,2019,2019,"Pancreas, unspecified - Malignant neoplasms",C25.9,55-64 years,55-64,190,880794,21.6
,Arizona,4,2019,2019,Ill-defined sites within the digestive system - Malignant neoplasms,C26.9,55-64 years,55-64,10,880794,Unreliable
,Arizona,4,2019,2019,"Larynx, unspecified - Malignant neoplasms",C32.9,55-64 years,55-64,12,880794,Unreliable
,Arizona,4,2019,2019,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,45-54 years,45-54,59,852090,6.9
,Arizona,4,2019,2019,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,55-64 years,55-64,377,880794,42.8
,Arizona,4,2019,2019,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,55-64 years,55-64,36,880794,4.1
,Arizona,4,2019,2019,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,55-64 years,55-64,13,880794,Unreliable
,Arizona,4,2019,2019,"Breast, unspecified - Malignant neoplasms",C50.9,45-54 years,45-54,96,852090,11.3
,Arizona,4,2019,2019,"Breast, unspecified - Malignant neoplasms",C50.9,55-64 years,55-64,191,880794,21.7
,Arizona,4,2019,2019,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,45-54 years,45-54,16,852090,Unreliable
,Arizona,4,2019,2019,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,55-64 years,55-64,28,880794,3.2
,Arizona,4,2019,2019,Endometrium - Malignant neoplasms,C54.1,45-54 years,45-54,10,852090,Unreliable
,Arizona,4,2019,2019,Endometrium - Malignant neoplasms,C54.1,55-64 years,55-64,26,880794,3
,Arizona,4,2019,2019,"Malignant neoplasm of uterus, part unspecified",C55,55-64 years,55-64,16,880794,Unreliable
,Arizona,4,2019,2019,Malignant neoplasm of ovary,C56,45-54 years,45-54,22,852090,2.6
,Arizona,4,2019,2019,Malignant neoplasm of ovary,C56,55-64 years,55-64,61,880794,6.9
,Arizona,4,2019,2019,Malignant neoplasm of prostate,C61,55-64 years,55-64,71,880794,8.1
,Arizona,4,2019,2019,"Malignant neoplasm of kidney, except renal pelvis",C64,45-54 years,45-54,24,852090,2.8
,Arizona,4,2019,2019,"Malignant neoplasm of kidney, except renal pelvis",C64,55-64 years,55-64,52,880794,5.9
,Arizona,4,2019,2019,"Bladder, unspecified - Malignant neoplasms",C67.9,55-64 years,55-64,42,880794,4.8
,Arizona,4,2019,2019,"Brain, unspecified - Malignant neoplasms",C71.9,45-54 years,45-54,34,852090,4
,Arizona,4,2019,2019,"Brain, unspecified - Malignant neoplasms",C71.9,55-64 years,55-64,66,880794,7.5
,Arizona,4,2019,2019,Secondary malignant neoplasm of other specified sites - Malignant neoplasms,C79.8,55-64 years,55-64,14,880794,Unreliable
,Arizona,4,2019,2019,Malignant neoplasm without specification of site,C80,45-54 years,45-54,30,852090,3.5
,Arizona,4,2019,2019,Malignant neoplasm without specification of site,C80,55-64 years,55-64,86,880794,9.8
,Arizona,4,2019,2019,Non-Hodgkin lymphoma large cell (diffuse),C83.3,55-64 years,55-64,12,880794,Unreliable
,Arizona,4,2019,2019,"B-cell lymphoma, unspecified - Malignant neoplasms",C85.1,55-64 years,55-64,10,880794,Unreliable
,Arizona,4,2019,2019,"Non-Hodgkin lymphoma, unspecified type",C85.9,55-64 years,55-64,23,880794,2.6
,Arizona,4,2019,2019,Multiple myeloma - Malignant neoplasms,C90.0,55-64 years,55-64,27,880794,3.1
,Arizona,4,2019,2019,Acute myeloid leukaemia - Malignant neoplasms,C92.0,45-54 years,45-54,13,852090,Unreliable
,Arizona,4,2019,2019,Acute myeloid leukaemia - Malignant neoplasms,C92.0,55-64 years,55-64,23,880794,2.6
,Arizona,4,2019,2019,Malignant neoplasms of independent (primary) multiple sites,C97,55-64 years,55-64,10,880794,Unreliable
,Arizona,4,2020,2020,"Tongue, unspecified - Malignant neoplasms",C02.9,55-64 years,55-64,13,894909,Unreliable
,Arizona,4,2020,2020,"Oropharynx, unspecified - Malignant neoplasms",C10.9,55-64 years,55-64,12,894909,Unreliable
,Arizona,4,2020,2020,"Pharynx, unspecified - Malignant neoplasms",C14.0,55-64 years,55-64,13,894909,Unreliable
,Arizona,4,2020,2020,"Oesophagus, unspecified - Malignant neoplasms",C15.9,45-54 years,45-54,19,859684,Unreliable
,Arizona,4,2020,2020,"Oesophagus, unspecified - Malignant neoplasms",C15.9,55-64 years,55-64,49,894909,5.5
,Arizona,4,2020,2020,"Stomach, unspecified - Malignant neoplasms",C16.9,45-54 years,45-54,11,859684,Unreliable
,Arizona,4,2020,2020,"Stomach, unspecified - Malignant neoplasms",C16.9,55-64 years,55-64,40,894909,4.5
,Arizona,4,2020,2020,"Colon, unspecified - Malignant neoplasms",C18.9,45-54 years,45-54,69,859684,8
,Arizona,4,2020,2020,"Colon, unspecified - Malignant neoplasms",C18.9,55-64 years,55-64,160,894909,17.9
,Arizona,4,2020,2020,Malignant neoplasm of rectosigmoid junction,C19,55-64 years,55-64,12,894909,Unreliable
,Arizona,4,2020,2020,Malignant neoplasm of rectum,C20,45-54 years,45-54,13,859684,Unreliable
,Arizona,4,2020,2020,Malignant neoplasm of rectum,C20,55-64 years,55-64,36,894909,4
,Arizona,4,2020,2020,Liver cell carcinoma - Malignant neoplasms,C22.0,55-64 years,55-64,72,894909,8
,Arizona,4,2020,2020,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,45-54 years,45-54,13,859684,Unreliable
,Arizona,4,2020,2020,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,55-64 years,55-64,26,894909,2.9
,Arizona,4,2020,2020,"Liver, unspecified - Malignant neoplasms",C22.9,45-54 years,45-54,11,859684,Unreliable
,Arizona,4,2020,2020,"Liver, unspecified - Malignant neoplasms",C22.9,55-64 years,55-64,49,894909,5.5
,Arizona,4,2020,2020,"Pancreas, unspecified - Malignant neoplasms",C25.9,45-54 years,45-54,42,859684,4.9
,Arizona,4,2020,2020,"Pancreas, unspecified - Malignant neoplasms",C25.9,55-64 years,55-64,161,894909,18
,Arizona,4,2020,2020,"Larynx, unspecified - Malignant neoplasms",C32.9,55-64 years,55-64,16,894909,Unreliable
,Arizona,4,2020,2020,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,45-54 years,45-54,68,859684,7.9
,Arizona,4,2020,2020,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,55-64 years,55-64,379,894909,42.4
,Arizona,4,2020,2020,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,45-54 years,45-54,12,859684,Unreliable
,Arizona,4,2020,2020,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,55-64 years,55-64,36,894909,4
,Arizona,4,2020,2020,Skin of scalp and neck - Malignant neoplasms,C44.4,55-64 years,55-64,10,894909,Unreliable
,Arizona,4,2020,2020,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,55-64 years,55-64,14,894909,Unreliable
,Arizona,4,2020,2020,"Breast, unspecified - Malignant neoplasms",C50.9,45-54 years,45-54,90,859684,10.5
,Arizona,4,2020,2020,"Breast, unspecified - Malignant neoplasms",C50.9,55-64 years,55-64,178,894909,19.9
,Arizona,4,2020,2020,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,45-54 years,45-54,12,859684,Unreliable
,Arizona,4,2020,2020,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,55-64 years,55-64,16,894909,Unreliable
,Arizona,4,2020,2020,Endometrium - Malignant neoplasms,C54.1,55-64 years,55-64,29,894909,3.2
,Arizona,4,2020,2020,"Malignant neoplasm of uterus, part unspecified",C55,55-64 years,55-64,20,894909,2.2
,Arizona,4,2020,2020,Malignant neoplasm of ovary,C56,45-54 years,45-54,18,859684,Unreliable
,Arizona,4,2020,2020,Malignant neoplasm of ovary,C56,55-64 years,55-64,56,894909,6.3
,Arizona,4,2020,2020,Malignant neoplasm of prostate,C61,55-64 years,55-64,65,894909,7.3
,Arizona,4,2020,2020,"Malignant neoplasm of kidney, except renal pelvis",C64,45-54 years,45-54,14,859684,Unreliable
,Arizona,4,2020,2020,"Malignant neoplasm of kidney, except renal pelvis",C64,55-64 years,55-64,65,894909,7.3
,Arizona,4,2020,2020,"Bladder, unspecified - Malignant neoplasms",C67.9,55-64 years,55-64,22,894909,2.5
,Arizona,4,2020,2020,"Brain, unspecified - Malignant neoplasms",C71.9,45-54 years,45-54,32,859684,3.7
,Arizona,4,2020,2020,"Brain, unspecified - Malignant neoplasms",C71.9,55-64 years,55-64,80,894909,8.9
,Arizona,4,2020,2020,Secondary malignant neoplasm of other specified sites - Malignant neoplasms,C79.8,55-64 years,55-64,18,894909,Unreliable
,Arizona,4,2020,2020,Malignant neoplasm without specification of site,C80,45-54 years,45-54,27,859684,3.1
,Arizona,4,2020,2020,Malignant neoplasm without specification of site,C80,55-64 years,55-64,71,894909,7.9
,Arizona,4,2020,2020,Non-Hodgkin lymphoma large cell (diffuse),C83.3,55-64 years,55-64,12,894909,Unreliable
,Arizona,4,2020,2020,"Non-Hodgkin lymphoma, unspecified type",C85.9,55-64 years,55-64,20,894909,2.2
,Arizona,4,2020,2020,Multiple myeloma - Malignant neoplasms,C90.0,45-54 years,45-54,10,859684,Unreliable
,Arizona,4,2020,2020,Multiple myeloma - Malignant neoplasms,C90.0,55-64 years,55-64,32,894909,3.6
,Arizona,4,2020,2020,Acute myeloid leukaemia - Malignant neoplasms,C92.0,45-54 years,45-54,16,859684,Unreliable
,Arizona,4,2020,2020,Acute myeloid leukaemia - Malignant neoplasms,C92.0,55-64 years,55-64,24,894909,2.7
,Arizona,4,2020,2020,Malignant neoplasms of independent (primary) multiple sites,C97,55-64 years,55-64,17,894909,Unreliable
,Arkansas,5,2019,2019,"Pharynx, unspecified - Malignant neoplasms",C14.0,55-64 years,55-64,10,385994,Unreliable
,Arkansas,5,2019,2019,"Oesophagus, unspecified - Malignant neoplasms",C15.9,45-54 years,45-54,11,361582,Unreliable
,Arkansas,5,2019,2019,"Oesophagus, unspecified - Malignant neoplasms",C15.9,55-64 years,55-64,36,385994,9.3
,Arkansas,5,2019,2019,"Stomach, unspecified - Malignant neoplasms",C16.9,55-64 years,55-64,18,385994,Unreliable
,Arkansas,5,2019,2019,"Colon, unspecified - Malignant neoplasms",C18.9,45-54 years,45-54,34,361582,9.4
,Arkansas,5,2019,2019,"Colon, unspecified - Malignant neoplasms",C18.9,55-64 years,55-64,91,385994,23.6
,Arkansas,5,2019,2019,Malignant neoplasm of rectosigmoid junction,C19,55-64 years,55-64,11,385994,Unreliable
,Arkansas,5,2019,2019,Malignant neoplasm of rectum,C20,55-64 years,55-64,21,385994,5.4
,Arkansas,5,2019,2019,Liver cell carcinoma - Malignant neoplasms,C22.0,55-64 years,55-64,36,385994,9.3
,Arkansas,5,2019,2019,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,55-64 years,55-64,14,385994,Unreliable
,Arkansas,5,2019,2019,"Liver, unspecified - Malignant neoplasms",C22.9,55-64 years,55-64,39,385994,10.1
,Arkansas,5,2019,2019,"Pancreas, unspecified - Malignant neoplasms",C25.9,45-54 years,45-54,20,361582,5.5
,Arkansas,5,2019,2019,"Pancreas, unspecified - Malignant neoplasms",C25.9,55-64 years,55-64,82,385994,21.2
,Arkansas,5,2019,2019,"Upper lobe, bronchus or lung - Malignant neoplasms",C34.1,55-64 years,55-64,14,385994,Unreliable
,Arkansas,5,2019,2019,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,45-54 years,45-54,77,361582,21.3
,Arkansas,5,2019,2019,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,55-64 years,55-64,374,385994,96.9
,Arkansas,5,2019,2019,"Breast, unspecified - Malignant neoplasms",C50.9,45-54 years,45-54,35,361582,9.7
,Arkansas,5,2019,2019,"Breast, unspecified - Malignant neoplasms",C50.9,55-64 years,55-64,81,385994,21
,Arkansas,5,2019,2019,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,45-54 years,45-54,12,361582,Unreliable
,Arkansas,5,2019,2019,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,55-64 years,55-64,13,385994,Unreliable
,Arkansas,5,2019,2019,Endometrium - Malignant neoplasms,C54.1,55-64 years,55-64,10,385994,Unreliable
,Arkansas,5,2019,2019,"Malignant neoplasm of uterus, part unspecified",C55,55-64 years,55-64,12,385994,Unreliable
,Arkansas,5,2019,2019,Malignant neoplasm of ovary,C56,45-54 years,45-54,15,361582,Unreliable
,Arkansas,5,2019,2019,Malignant neoplasm of ovary,C56,55-64 years,55-64,20,385994,5.2
,Arkansas,5,2019,2019,Malignant neoplasm of prostate,C61,55-64 years,55-64,38,385994,9.8
,Arkansas,5,2019,2019,"Malignant neoplasm of kidney, except renal pelvis",C64,45-54 years,45-54,11,361582,Unreliable
,Arkansas,5,2019,2019,"Malignant neoplasm of kidney, except renal pelvis",C64,55-64 years,55-64,37,385994,9.6
,Arkansas,5,2019,2019,"Bladder, unspecified - Malignant neoplasms",C67.9,55-64 years,55-64,10,385994,Unreliable
,Arkansas,5,2019,2019,"Brain, unspecified - Malignant neoplasms",C71.9,45-54 years,45-54,13,361582,Unreliable
,Arkansas,5,2019,2019,"Brain, unspecified - Malignant neoplasms",C71.9,55-64 years,55-64,26,385994,6.7
,Arkansas,5,2019,2019,Malignant neoplasm without specification of site,C80,45-54 years,45-54,17,361582,Unreliable
