Notes,State,State Code,Year,Year Code,Cause of death,Cause of death Code,Gender,Gender Code,Deaths,Population,Crude Rate
,Alabama,1,2019,2019,Connective and other soft tissue - Uncertain neoplasms,D48.1,Male,M,10,2369517,Unreliable
,Alabama,1,2020,2020,"Tongue, unspecified - Malignant neoplasms",C02.9,Male,M,20,2376966,0.8
,Alabama,1,2020,2020,"Mouth, unspecified - Malignant neoplasms",C06.9,Male,M,25,2376966,1.1
,Alabama,1,2020,2020,Malignant neoplasm of parotid gland,C07,Male,M,10,2376966,Unreliable
,Alabama,1,2020,2020,"Oropharynx, unspecified - Malignant neoplasms",C10.9,Male,M,19,2376966,Unreliable
,Alabama,1,2020,2020,"Pharynx, unspecified - Malignant neoplasms",C14.0,Female,F,11,2544566,Unreliable
,Alabama,1,2020,2020,"Pharynx, unspecified - Malignant neoplasms",C14.0,Male,M,41,2376966,1.7
,Alabama,1,2020,2020,"Oesophagus, unspecified - Malignant neoplasms",C15.9,Female,F,49,2544566,1.9
,Alabama,1,2020,2020,"Oesophagus, unspecified - Malignant neoplasms",C15.9,Male,M,179,2376966,7.5
,Alabama,1,2020,2020,Cardia - Malignant neoplasms,C16.0,Male,M,13,2376966,Unreliable
,Alabama,1,2020,2020,"Stomach, unspecified - Malignant neoplasms",C16.9,Female,F,58,2544566,2.3
,Alabama,1,2020,2020,"Stomach, unspecified - Malignant neoplasms",C16.9,Male,M,78,2376966,3.3
,Alabama,1,2020,2020,Ascending colon - Malignant neoplasms,C18.2,Male,M,10,2376966,Unreliable
,Alabama,1,2020,2020,Sigmoid colon - Malignant neoplasms,C18.7,Female,F,13,2544566,Unreliable
,Alabama,1,2020,2020,"Colon, unspecified - Malignant neoplasms",C18.9,Female,F,304,2544566,11.9
,Alabama,1,2020,2020,"Colon, unspecified - Malignant neoplasms",C18.9,Male,M,352,2376966,14.8
,Alabama,1,2020,2020,Malignant neoplasm of rectosigmoid junction,C19,Female,F,23,2544566,0.9
,Alabama,1,2020,2020,Malignant neoplasm of rectosigmoid junction,C19,Male,M,30,2376966,1.3
,Alabama,1,2020,2020,Malignant neoplasm of rectum,C20,Female,F,39,2544566,1.5
,Alabama,1,2020,2020,Malignant neoplasm of rectum,C20,Male,M,59,2376966,2.5
,Alabama,1,2020,2020,"Anus, unspecified - Malignant neoplasms",C21.0,Female,F,13,2544566,Unreliable
,Alabama,1,2020,2020,Liver cell carcinoma - Malignant neoplasms,C22.0,Female,F,35,2544566,1.4
,Alabama,1,2020,2020,Liver cell carcinoma - Malignant neoplasms,C22.0,Male,M,115,2376966,4.8
,Alabama,1,2020,2020,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,Female,F,56,2544566,2.2
,Alabama,1,2020,2020,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,Male,M,63,2376966,2.7
,Alabama,1,2020,2020,"Liver, unspecified - Malignant neoplasms",C22.9,Female,F,77,2544566,3
,Alabama,1,2020,2020,"Liver, unspecified - Malignant neoplasms",C22.9,Male,M,162,2376966,6.8
,Alabama,1,2020,2020,Malignant neoplasm of gallbladder,C23,Female,F,20,2544566,0.8
,Alabama,1,2020,2020,Extrahepatic bile duct - Malignant neoplasms,C24.0,Female,F,14,2544566,Unreliable
,Alabama,1,2020,2020,Extrahepatic bile duct - Malignant neoplasms,C24.0,Male,M,10,2376966,Unreliable
,Alabama,1,2020,2020,"Biliary tract, unspecified - Malignant neoplasms",C24.9,Male,M,10,2376966,Unreliable
,Alabama,1,2020,2020,Head of pancreas - Malignant neoplasms,C25.0,Female,F,16,2544566,Unreliable
,Alabama,1,2020,2020,Head of pancreas - Malignant neoplasms,C25.0,Male,M,20,2376966,0.8
,Alabama,1,2020,2020,"Pancreas, unspecified - Malignant neoplasms",C25.9,Female,F,330,2544566,13
,Alabama,1,2020,2020,"Pancreas, unspecified - Malignant neoplasms",C25.9,Male,M,391,2376966,16.4
,Alabama,1,2020,2020,Ill-defined sites within the digestive system - Malignant neoplasms,C26.9,Female,F,10,2544566,Unreliable
,Alabama,1,2020,2020,Ill-defined sites within the digestive system - Malignant neoplasms,C26.9,Male,M,22,2376966,0.9
,Alabama,1,2020,2020,"Larynx, unspecified - Malignant neoplasms",C32.9,Male,M,62,2376966,2.6
,Alabama,1,2020,2020,"Upper lobe, bronchus or lung - Malignant neoplasms",C34.1,Female,F,38,2544566,1.5
,Alabama,1,2020,2020,"Upper lobe, bronchus or lung - Malignant neoplasms",C34.1,Male,M,43,2376966,1.8
,Alabama,1,2020,2020,"Lower lobe, bronchus or lung - Malignant neoplasms",C34.3,Female,F,19,2544566,Unreliable
,Alabama,1,2020,2020,"Lower lobe, bronchus or lung - Malignant neoplasms",C34.3,Male,M,16,2376966,Unreliable
,Alabama,1,2020,2020,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,Female,F,1084,2544566,42.6
,Alabama,1,2020,2020,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,Male,M,1510,2376966,63.5
,Alabama,1,2020,2020,"Bone and articular cartilage, unspecified - Malignant neoplasms",C41.9,Male,M,27,2376966,1.1
,Alabama,1,2020,2020,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,Female,F,39,2544566,1.5
,Alabama,1,2020,2020,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,Male,M,73,2376966,3.1
,Alabama,1,2020,2020,Skin of scalp and neck - Malignant neoplasms,C44.4,Male,M,14,2376966,Unreliable
,Alabama,1,2020,2020,"Malignant neoplasm of skin, unspecified - Malignant neoplasms",C44.9,Female,F,22,2544566,0.9
,Alabama,1,2020,2020,"Malignant neoplasm of skin, unspecified - Malignant neoplasms",C44.9,Male,M,19,2376966,Unreliable
,Alabama,1,2020,2020,"Mesothelioma, unspecified - Malignant neoplasms",C45.9,Male,M,12,2376966,Unreliable
,Alabama,1,2020,2020,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,Female,F,31,2544566,1.2
,Alabama,1,2020,2020,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,Male,M,30,2376966,1.3
,Alabama,1,2020,2020,Upper-outer quadrant of breast - Malignant neoplasms,C50.4,Female,F,11,2544566,Unreliable
,Alabama,1,2020,2020,"Breast, unspecified - Malignant neoplasms",C50.9,Female,F,675,2544566,26.5
,Alabama,1,2020,2020,"Vulva, unspecified - Malignant neoplasms",C51.9,Female,F,20,2544566,0.8
,Alabama,1,2020,2020,Malignant neoplasm of vagina,C52,Female,F,13,2544566,Unreliable
,Alabama,1,2020,2020,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,Female,F,95,2544566,3.7
,Alabama,1,2020,2020,Endometrium - Malignant neoplasms,C54.1,Female,F,104,2544566,4.1
,Alabama,1,2020,2020,"Malignant neoplasm of uterus, part unspecified",C55,Female,F,48,2544566,1.9
,Alabama,1,2020,2020,Malignant neoplasm of ovary,C56,Female,F,188,2544566,7.4
,Alabama,1,2020,2020,Malignant neoplasm of prostate,C61,Male,M,534,2376966,22.5
,Alabama,1,2020,2020,"Malignant neoplasm of kidney, except renal pelvis",C64,Female,F,62,2544566,2.4
,Alabama,1,2020,2020,"Malignant neoplasm of kidney, except renal pelvis",C64,Male,M,146,2376966,6.1
,Alabama,1,2020,2020,"Bladder, unspecified - Malignant neoplasms",C67.9,Female,F,81,2544566,3.2
,Alabama,1,2020,2020,"Bladder, unspecified - Malignant neoplasms",C67.9,Male,M,201,2376966,8.5
,Alabama,1,2020,2020,Frontal lobe - Malignant neoplasms,C71.1,Male,M,15,2376966,Unreliable
,Alabama,1,2020,2020,"Brain, unspecified - Malignant neoplasms",C71.9,Female,F,122,2544566,4.8
,Alabama,1,2020,2020,"Brain, unspecified - Malignant neoplasms",C71.9,Male,M,131,2376966,5.5
,Alabama,1,2020,2020,Malignant neoplasm of thyroid gland,C73,Female,F,11,2544566,Unreliable
,Alabama,1,2020,2020,Malignant neoplasm of thyroid gland,C73,Male,M,16,2376966,Unreliable
,Alabama,1,2020,2020,"Head, face and neck - Malignant neoplasms",C76.0,Male,M,14,2376966,Unreliable
,Alabama,1,2020,2020,Secondary malignant neoplasm of other specified sites - Malignant neoplasms,C79.8,Female,F,12,2544566,Unreliable
,Alabama,1,2020,2020,Secondary malignant neoplasm of other specified sites - Malignant neoplasms,C79.8,Male,M,27,2376966,1.1
,Alabama,1,2020,2020,Malignant neoplasm without specification of site,C80,Female,F,219,2544566,8.6
,Alabama,1,2020,2020,Malignant neoplasm without specification of site,C80,Male,M,271,2376966,11.4
,Alabama,1,2020,2020,Non-Hodgkin lymphoma large cell (diffuse),C83.3,Female,F,19,2544566,Unreliable
,Alabama,1,2020,2020,Non-Hodgkin lymphoma large cell (diffuse),C83.3,Male,M,28,2376966,1.2
,Alabama,1,2020,2020,Other and unspecified T-cell lymphomas - Malignant neoplasms,C84.5,Male,M,11,2376966,Unreliable
,Alabama,1,2020,2020,"B-cell lymphoma, unspecified - Malignant neoplasms",C85.1,Female,F,29,2544566,1.1
,Alabama,1,2020,2020,"B-cell lymphoma, unspecified - Malignant neoplasms",C85.1,Male,M,31,2376966,1.3
,Alabama,1,2020,2020,"Non-Hodgkin lymphoma, unspecified type",C85.9,Female,F,55,2544566,2.2
,Alabama,1,2020,2020,"Non-Hodgkin lymphoma, unspecified type",C85.9,Male,M,85,2376966,3.6
,Alabama,1,2020,2020,Multiple myeloma - Malignant neoplasms,C90.0,Female,F,100,2544566,3.9
,Alabama,1,2020,2020,Multiple myeloma - Malignant neoplasms,C90.0,Male,M,121,2376966,5.1
,Alabama,1,2020,2020,Acute lymphoblastic leukaemia - Malignant neoplasms,C91.0,Female,F,15,2544566,Unreliable
,Alabama,1,2020,2020,Acute lymphoblastic leukaemia - Malignant neoplasms,C91.0,Male,M,11,2376966,Unreliable
,Alabama,1,2020,2020,Chronic lymphocytic leukaemia - Malignant neoplasms,C91.1,Female,F,19,2544566,Unreliable
,Alabama,1,2020,2020,Chronic lymphocytic leukaemia - Malignant neoplasms,C91.1,Male,M,29,2376966,1.2
,Alabama,1,2020,2020,Acute myeloid leukaemia - Malignant neoplasms,C92.0,Female,F,72,2544566,2.8
,Alabama,1,2020,2020,Acute myeloid leukaemia - Malignant neoplasms,C92.0,Male,M,90,2376966,3.8
,Alabama,1,2020,2020,Chronic myeloid leukaemia - Malignant neoplasms,C92.1,Male,M,10,2376966,Unreliable
,Alabama,1,2020,2020,"Myeloid leukaemia, unspecified - Malignant neoplasms",C92.9,Male,M,10,2376966,Unreliable
,Alabama,1,2020,2020,Acute leukaemia of unspecified cell type - Malignant neoplasms,C95.0,Male,M,10,2376966,Unreliable
,Alabama,1,2020,2020,"Leukaemia, unspecified - Malignant neoplasms",C95.9,Female,F,21,2544566,0.8
,Alabama,1,2020,2020,"Leukaemia, unspecified - Malignant neoplasms",C95.9,Male,M,36,2376966,1.5
,Alabama,1,2020,2020,Malignant neoplasms of independent (primary) multiple sites,C97,Female,F,33,2544566,1.3
,Alabama,1,2020,2020,Malignant neoplasms of independent (primary) multiple sites,C97,Male,M,81,2376966,3.4
,Alabama,1,2020,2020,"Brain, unspecified - Uncertain neoplasms",D43.2,Female,F,12,2544566,Unreliable
,Alabama,1,2020,2020,"Brain, unspecified - Uncertain neoplasms",D43.2,Male,M,12,2376966,Unreliable
,Alabama,1,2020,2020,"Myelodysplastic syndrome, unspecified - Uncertain neoplasms",D46.9,Female,F,39,2544566,1.5
,Alabama,1,2020,2020,"Myelodysplastic syndrome, unspecified - Uncertain neoplasms",D46.9,Male,M,69,2376966,2.9
,Alaska,2,2019,2019,"Oesophagus, unspecified - Malignant neoplasms",C15.9,Female,F,12,350127,Unreliable
,Alaska,2,2019,2019,"Oesophagus, unspecified - Malignant neoplasms",C15.9,Male,M,24,381418,6.3
,Alaska,2,2019,2019,"Stomach, unspecified - Malignant neoplasms",C16.9,Male,M,14,381418,Unreliable
,Alaska,2,2019,2019,"Colon, unspecified - Malignant neoplasms",C18.9,Female,F,40,350127,11.4
,Alaska,2,2019,2019,"Colon, unspecified - Malignant neoplasms",C18.9,Male,M,34,381418,8.9
,Alaska,2,2019,2019,Liver cell carcinoma - Malignant neoplasms,C22.0,Female,F,10,350127,Unreliable
,Alaska,2,2019,2019,Liver cell carcinoma - Malignant neoplasms,C22.0,Male,M,29,381418,7.6
,Alaska,2,2019,2019,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,Male,M,14,381418,Unreliable
,Alaska,2,2019,2019,"Pancreas, unspecified - Malignant neoplasms",C25.9,Female,F,31,350127,8.9
,Alaska,2,2019,2019,"Pancreas, unspecified - Malignant neoplasms",C25.9,Male,M,36,381418,9.4
,Alaska,2,2019,2019,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,Female,F,103,350127,29.4
,Alaska,2,2019,2019,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,Male,M,112,381418,29.4
,Alaska,2,2019,2019,"Breast, unspecified - Malignant neoplasms",C50.9,Female,F,68,350127,19.4
,Alaska,2,2019,2019,Malignant neoplasm of ovary,C56,Female,F,19,350127,Unreliable
,Alaska,2,2019,2019,Malignant neoplasm of prostate,C61,Male,M,65,381418,17
,Alaska,2,2019,2019,"Malignant neoplasm of kidney, except renal pelvis",C64,Male,M,17,381418,Unreliable
,Alaska,2,2019,2019,"Bladder, unspecified - Malignant neoplasms",C67.9,Male,M,13,381418,Unreliable
,Alaska,2,2019,2019,"Brain, unspecified - Malignant neoplasms",C71.9,Male,M,17,381418,Unreliable
,Alaska,2,2019,2019,Malignant neoplasm without specification of site,C80,Female,F,26,350127,7.4
,Alaska,2,2019,2019,Malignant neoplasm without specification of site,C80,Male,M,42,381418,11
,Alaska,2,2019,2019,Multiple myeloma - Malignant neoplasms,C90.0,Male,M,11,381418,Unreliable
,Alaska,2,2019,2019,Acute myeloid leukaemia - Malignant neoplasms,C92.0,Male,M,13,381418,Unreliable
,Alaska,2,2019,2019,Malignant neoplasms of independent (primary) multiple sites,C97,Male,M,10,381418,Unreliable
,Alaska,2,2020,2020,"Oesophagus, unspecified - Malignant neoplasms",C15.9,Male,M,14,381537,Unreliable
,Alaska,2,2020,2020,"Stomach, unspecified - Malignant neoplasms",C16.9,Female,F,11,349621,Unreliable
,Alaska,2,2020,2020,"Stomach, unspecified - Malignant neoplasms",C16.9,Male,M,17,381537,Unreliable
,Alaska,2,2020,2020,"Colon, unspecified - Malignant neoplasms",C18.9,Female,F,33,349621,9.4
,Alaska,2,2020,2020,"Colon, unspecified - Malignant neoplasms",C18.9,Male,M,36,381537,9.4
,Alaska,2,2020,2020,Malignant neoplasm of rectum,C20,Male,M,13,381537,Unreliable
,Alaska,2,2020,2020,Liver cell carcinoma - Malignant neoplasms,C22.0,Male,M,24,381537,6.3
,Alaska,2,2020,2020,"Pancreas, unspecified - Malignant neoplasms",C25.9,Female,F,39,349621,11.2
,Alaska,2,2020,2020,"Pancreas, unspecified - Malignant neoplasms",C25.9,Male,M,48,381537,12.6
,Alaska,2,2020,2020,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,Female,F,102,349621,29.2
,Alaska,2,2020,2020,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,Male,M,136,381537,35.6
,Alaska,2,2020,2020,"Breast, unspecified - Malignant neoplasms",C50.9,Female,F,59,349621,16.9
,Alaska,2,2020,2020,Endometrium - Malignant neoplasms,C54.1,Female,F,11,349621,Unreliable
,Alaska,2,2020,2020,Malignant neoplasm of ovary,C56,Female,F,14,349621,Unreliable
,Alaska,2,2020,2020,Malignant neoplasm of prostate,C61,Male,M,49,381537,12.8
,Alaska,2,2020,2020,"Malignant neoplasm of kidney, except renal pelvis",C64,Male,M,18,381537,Unreliable
,Alaska,2,2020,2020,"Bladder, unspecified - Malignant neoplasms",C67.9,Male,M,13,381537,Unreliable
,Alaska,2,2020,2020,"Brain, unspecified - Malignant neoplasms",C71.9,Male,M,19,381537,Unreliable
,Alaska,2,2020,2020,Malignant neoplasm without specification of site,C80,Female,F,38,349621,10.9
,Alaska,2,2020,2020,Malignant neoplasm without specification of site,C80,Male,M,45,381537,11.8
,Alaska,2,2020,2020,Acute myeloid leukaemia - Malignant neoplasms,C92.0,Male,M,10,381537,Unreliable
,Arizona,4,2019,2019,"Tongue, unspecified - Malignant neoplasms",C02.9,Female,F,15,3661420,Unreliable
,Arizona,4,2019,2019,"Tongue, unspecified - Malignant neoplasms",C02.9,Male,M,40,3617297,1.1
,Arizona,4,2019,2019,"Tonsil, unspecified - Malignant neoplasms",C09.9,Male,M,15,3617297,Unreliable
,Arizona,4,2019,2019,"Oropharynx, unspecified - Malignant neoplasms",C10.9,Male,M,20,3617297,0.6
,Arizona,4,2019,2019,"Pharynx, unspecified - Malignant neoplasms",C14.0,Male,M,24,3617297,0.7
,Arizona,4,2019,2019,"Oesophagus, unspecified - Malignant neoplasms",C15.9,Female,F,62,3661420,1.7
,Arizona,4,2019,2019,"Oesophagus, unspecified - Malignant neoplasms",C15.9,Male,M,267,3617297,7.4
,Arizona,4,2019,2019,Cardia - Malignant neoplasms,C16.0,Male,M,14,3617297,Unreliable
