,Notes,State,State Code,Year,Year Code,Cause of death,Cause of death Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
80,,California,6.0,2020.0,2020.0,"Oesophagus, unspecified - Malignant neoplasms",C15.9,35-44 years,35-44,17.0,5305749.0,Unreliable
81,,California,6.0,2020.0,2020.0,"Stomach, unspecified - Malignant neoplasms",C16.9,25-34 years,25-34,26.0,6017057.0,0.4
82,,California,6.0,2020.0,2020.0,"Stomach, unspecified - Malignant neoplasms",C16.9,35-44 years,35-44,96.0,5305749.0,1.8
83,,California,6.0,2020.0,2020.0,"Colon, unspecified - Malignant neoplasms",C18.9,25-34 years,25-34,33.0,6017057.0,0.5
84,,California,6.0,2020.0,2020.0,"Colon, unspecified - Malignant neoplasms",C18.9,35-44 years,35-44,127.0,5305749.0,2.4
85,,California,6.0,2020.0,2020.0,Malignant neoplasm of rectosigmoid junction,C19,35-44 years,35-44,18.0,5305749.0,Unreliable
86,,California,6.0,2020.0,2020.0,Malignant neoplasm of rectum,C20,25-34 years,25-34,10.0,6017057.0,Unreliable
87,,California,6.0,2020.0,2020.0,Malignant neoplasm of rectum,C20,35-44 years,35-44,35.0,5305749.0,0.7
88,,California,6.0,2020.0,2020.0,Liver cell carcinoma - Malignant neoplasms,C22.0,35-44 years,35-44,14.0,5305749.0,Unreliable
89,,California,6.0,2020.0,2020.0,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,35-44 years,35-44,16.0,5305749.0,Unreliable
90,,California,6.0,2020.0,2020.0,"Pancreas, unspecified - Malignant neoplasms",C25.9,35-44 years,35-44,45.0,5305749.0,0.8
91,,California,6.0,2020.0,2020.0,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,25-34 years,25-34,15.0,6017057.0,Unreliable
92,,California,6.0,2020.0,2020.0,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,35-44 years,35-44,69.0,5305749.0,1.3
93,,California,6.0,2020.0,2020.0,"Bone and articular cartilage, unspecified - Malignant neoplasms",C41.9,15-24 years,15-24,19.0,5111453.0,Unreliable
94,,California,6.0,2020.0,2020.0,"Bone and articular cartilage, unspecified - Malignant neoplasms",C41.9,25-34 years,25-34,14.0,6017057.0,Unreliable
95,,California,6.0,2020.0,2020.0,"Bone and articular cartilage, unspecified - Malignant neoplasms",C41.9,35-44 years,35-44,10.0,5305749.0,Unreliable
96,,California,6.0,2020.0,2020.0,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,35-44 years,35-44,16.0,5305749.0,Unreliable
97,,California,6.0,2020.0,2020.0,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,25-34 years,25-34,16.0,6017057.0,Unreliable
98,,California,6.0,2020.0,2020.0,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,35-44 years,35-44,24.0,5305749.0,0.5
99,,California,6.0,2020.0,2020.0,"Breast, unspecified - Malignant neoplasms",C50.9,25-34 years,25-34,46.0,6017057.0,0.8
100,,California,6.0,2020.0,2020.0,"Breast, unspecified - Malignant neoplasms",C50.9,35-44 years,35-44,202.0,5305749.0,3.8
101,,California,6.0,2020.0,2020.0,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,25-34 years,25-34,26.0,6017057.0,0.4
102,,California,6.0,2020.0,2020.0,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,35-44 years,35-44,68.0,5305749.0,1.3
103,,California,6.0,2020.0,2020.0,Endometrium - Malignant neoplasms,C54.1,35-44 years,35-44,23.0,5305749.0,0.4
104,,California,6.0,2020.0,2020.0,Malignant neoplasm of ovary,C56,25-34 years,25-34,15.0,6017057.0,Unreliable
105,,California,6.0,2020.0,2020.0,Malignant neoplasm of ovary,C56,35-44 years,35-44,44.0,5305749.0,0.8
106,,California,6.0,2020.0,2020.0,"Testis, unspecified - Malignant neoplasms",C62.9,15-24 years,15-24,12.0,5111453.0,Unreliable
107,,California,6.0,2020.0,2020.0,"Testis, unspecified - Malignant neoplasms",C62.9,25-34 years,25-34,20.0,6017057.0,0.3
108,,California,6.0,2020.0,2020.0,"Testis, unspecified - Malignant neoplasms",C62.9,35-44 years,35-44,11.0,5305749.0,Unreliable
109,,California,6.0,2020.0,2020.0,"Malignant neoplasm of kidney, except renal pelvis",C64,25-34 years,25-34,10.0,6017057.0,Unreliable
110,,California,6.0,2020.0,2020.0,"Malignant neoplasm of kidney, except renal pelvis",C64,35-44 years,35-44,32.0,5305749.0,0.6
111,,California,6.0,2020.0,2020.0,"Bladder, unspecified - Malignant neoplasms",C67.9,35-44 years,35-44,10.0,5305749.0,Unreliable
112,,California,6.0,2020.0,2020.0,Brain stem - Malignant neoplasms,C71.7,5-14 years,14-May,11.0,4973904.0,Unreliable
113,,California,6.0,2020.0,2020.0,"Brain, unspecified - Malignant neoplasms",C71.9,1-4 years,4-Jan,11.0,1863516.0,Unreliable
114,,California,6.0,2020.0,2020.0,"Brain, unspecified - Malignant neoplasms",C71.9,5-14 years,14-May,31.0,4973904.0,0.6
115,,California,6.0,2020.0,2020.0,"Brain, unspecified - Malignant neoplasms",C71.9,15-24 years,15-24,22.0,5111453.0,0.4
116,,California,6.0,2020.0,2020.0,"Brain, unspecified - Malignant neoplasms",C71.9,25-34 years,25-34,42.0,6017057.0,0.7
117,,California,6.0,2020.0,2020.0,"Brain, unspecified - Malignant neoplasms",C71.9,35-44 years,35-44,81.0,5305749.0,1.5
118,,California,6.0,2020.0,2020.0,Malignant neoplasm without specification of site,C80,25-34 years,25-34,25.0,6017057.0,0.4
119,,California,6.0,2020.0,2020.0,Malignant neoplasm without specification of site,C80,35-44 years,35-44,59.0,5305749.0,1.1
120,,California,6.0,2020.0,2020.0,"Hodgkin disease, unspecified",C81.9,25-34 years,25-34,11.0,6017057.0,Unreliable
121,,California,6.0,2020.0,2020.0,Non-Hodgkin lymphoma large cell (diffuse),C83.3,35-44 years,35-44,11.0,5305749.0,Unreliable
122,,California,6.0,2020.0,2020.0,"Non-Hodgkin lymphoma, unspecified type",C85.9,35-44 years,35-44,11.0,5305749.0,Unreliable
123,,California,6.0,2020.0,2020.0,Acute lymphoblastic leukaemia - Malignant neoplasms,C91.0,5-14 years,14-May,18.0,4973904.0,Unreliable
124,,California,6.0,2020.0,2020.0,Acute lymphoblastic leukaemia - Malignant neoplasms,C91.0,15-24 years,15-24,19.0,5111453.0,Unreliable
125,,California,6.0,2020.0,2020.0,Acute lymphoblastic leukaemia - Malignant neoplasms,C91.0,25-34 years,25-34,17.0,6017057.0,Unreliable
126,,California,6.0,2020.0,2020.0,Acute lymphoblastic leukaemia - Malignant neoplasms,C91.0,35-44 years,35-44,21.0,5305749.0,0.4
127,,California,6.0,2020.0,2020.0,Acute myeloid leukaemia - Malignant neoplasms,C92.0,5-14 years,14-May,10.0,4973904.0,Unreliable
128,,California,6.0,2020.0,2020.0,Acute myeloid leukaemia - Malignant neoplasms,C92.0,25-34 years,25-34,21.0,6017057.0,0.3
129,,California,6.0,2020.0,2020.0,Acute myeloid leukaemia - Malignant neoplasms,C92.0,35-44 years,35-44,32.0,5305749.0,0.6
130,,Colorado,8.0,2019.0,2019.0,"Colon, unspecified - Malignant neoplasms",C18.9,35-44 years,35-44,19.0,798071.0,Unreliable
131,,Colorado,8.0,2019.0,2019.0,"Breast, unspecified - Malignant neoplasms",C50.9,35-44 years,35-44,27.0,798071.0,3.4
132,,Colorado,8.0,2019.0,2019.0,"Brain, unspecified - Malignant neoplasms",C71.9,35-44 years,35-44,11.0,798071.0,Unreliable
133,,Colorado,8.0,2019.0,2019.0,Malignant neoplasm without specification of site,C80,35-44 years,35-44,14.0,798071.0,Unreliable
134,,Colorado,8.0,2020.0,2020.0,"Colon, unspecified - Malignant neoplasms",C18.9,35-44 years,35-44,17.0,816118.0,Unreliable
135,,Colorado,8.0,2020.0,2020.0,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,35-44 years,35-44,13.0,816118.0,Unreliable
136,,Colorado,8.0,2020.0,2020.0,"Breast, unspecified - Malignant neoplasms",C50.9,35-44 years,35-44,26.0,816118.0,3.2
137,,Colorado,8.0,2020.0,2020.0,"Brain, unspecified - Malignant neoplasms",C71.9,35-44 years,35-44,15.0,816118.0,Unreliable
138,,Connecticut,9.0,2019.0,2019.0,"Breast, unspecified - Malignant neoplasms",C50.9,35-44 years,35-44,16.0,427141.0,Unreliable
139,,Connecticut,9.0,2020.0,2020.0,"Breast, unspecified - Malignant neoplasms",C50.9,35-44 years,35-44,15.0,431882.0,Unreliable
140,,Florida,12.0,2019.0,2019.0,"Oesophagus, unspecified - Malignant neoplasms",C15.9,35-44 years,35-44,11.0,2600531.0,Unreliable
141,,Florida,12.0,2019.0,2019.0,"Stomach, unspecified - Malignant neoplasms",C16.9,35-44 years,35-44,16.0,2600531.0,Unreliable
142,,Florida,12.0,2019.0,2019.0,"Colon, unspecified - Malignant neoplasms",C18.9,25-34 years,25-34,10.0,2799422.0,Unreliable
143,,Florida,12.0,2019.0,2019.0,"Colon, unspecified - Malignant neoplasms",C18.9,35-44 years,35-44,66.0,2600531.0,2.5
144,,Florida,12.0,2019.0,2019.0,Malignant neoplasm of rectum,C20,35-44 years,35-44,24.0,2600531.0,0.9
145,,Florida,12.0,2019.0,2019.0,"Pancreas, unspecified - Malignant neoplasms",C25.9,35-44 years,35-44,25.0,2600531.0,1
146,,Florida,12.0,2019.0,2019.0,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,25-34 years,25-34,13.0,2799422.0,Unreliable
147,,Florida,12.0,2019.0,2019.0,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,35-44 years,35-44,43.0,2600531.0,1.7
148,,Florida,12.0,2019.0,2019.0,"Bone and articular cartilage, unspecified - Malignant neoplasms",C41.9,15-24 years,15-24,14.0,2460558.0,Unreliable
149,,Florida,12.0,2019.0,2019.0,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,35-44 years,35-44,23.0,2600531.0,0.9
150,,Florida,12.0,2019.0,2019.0,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,25-34 years,25-34,11.0,2799422.0,Unreliable
151,,Florida,12.0,2019.0,2019.0,"Breast, unspecified - Malignant neoplasms",C50.9,25-34 years,25-34,48.0,2799422.0,1.7
152,,Florida,12.0,2019.0,2019.0,"Breast, unspecified - Malignant neoplasms",C50.9,35-44 years,35-44,142.0,2600531.0,5.5
153,,Florida,12.0,2019.0,2019.0,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,25-34 years,25-34,15.0,2799422.0,Unreliable
154,,Florida,12.0,2019.0,2019.0,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,35-44 years,35-44,43.0,2600531.0,1.7
155,,Florida,12.0,2019.0,2019.0,Malignant neoplasm of ovary,C56,35-44 years,35-44,19.0,2600531.0,Unreliable
156,,Florida,12.0,2019.0,2019.0,"Testis, unspecified - Malignant neoplasms",C62.9,25-34 years,25-34,11.0,2799422.0,Unreliable
157,,Florida,12.0,2019.0,2019.0,"Malignant neoplasm of kidney, except renal pelvis",C64,35-44 years,35-44,14.0,2600531.0,Unreliable
158,,Florida,12.0,2019.0,2019.0,"Brain, unspecified - Malignant neoplasms",C71.9,5-14 years,14-May,11.0,2372397.0,Unreliable
159,,Florida,12.0,2019.0,2019.0,"Brain, unspecified - Malignant neoplasms",C71.9,15-24 years,15-24,12.0,2460558.0,Unreliable
160,,Florida,12.0,2019.0,2019.0,"Brain, unspecified - Malignant neoplasms",C71.9,25-34 years,25-34,24.0,2799422.0,0.9
161,,Florida,12.0,2019.0,2019.0,"Brain, unspecified - Malignant neoplasms",C71.9,35-44 years,35-44,36.0,2600531.0,1.4
162,,Florida,12.0,2019.0,2019.0,Malignant neoplasm without specification of site,C80,25-34 years,25-34,10.0,2799422.0,Unreliable
163,,Florida,12.0,2019.0,2019.0,Malignant neoplasm without specification of site,C80,35-44 years,35-44,39.0,2600531.0,1.5
164,,Florida,12.0,2019.0,2019.0,Acute myeloid leukaemia - Malignant neoplasms,C92.0,25-34 years,25-34,13.0,2799422.0,Unreliable
165,,Florida,12.0,2019.0,2019.0,Acute myeloid leukaemia - Malignant neoplasms,C92.0,35-44 years,35-44,19.0,2600531.0,Unreliable
166,,Florida,12.0,2020.0,2020.0,"Stomach, unspecified - Malignant neoplasms",C16.9,35-44 years,35-44,28.0,2649160.0,1.1
167,,Florida,12.0,2020.0,2020.0,"Colon, unspecified - Malignant neoplasms",C18.9,25-34 years,25-34,20.0,2818471.0,0.7
168,,Florida,12.0,2020.0,2020.0,"Colon, unspecified - Malignant neoplasms",C18.9,35-44 years,35-44,67.0,2649160.0,2.5
169,,Florida,12.0,2020.0,2020.0,Malignant neoplasm of rectum,C20,35-44 years,35-44,11.0,2649160.0,Unreliable
170,,Florida,12.0,2020.0,2020.0,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,35-44 years,35-44,10.0,2649160.0,Unreliable
171,,Florida,12.0,2020.0,2020.0,"Pancreas, unspecified - Malignant neoplasms",C25.9,35-44 years,35-44,29.0,2649160.0,1.1
172,,Florida,12.0,2020.0,2020.0,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,35-44 years,35-44,61.0,2649160.0,2.3
173,,Florida,12.0,2020.0,2020.0,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,35-44 years,35-44,12.0,2649160.0,Unreliable
174,,Florida,12.0,2020.0,2020.0,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,15-24 years,15-24,11.0,2466792.0,Unreliable
175,,Florida,12.0,2020.0,2020.0,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,25-34 years,25-34,11.0,2818471.0,Unreliable
176,,Florida,12.0,2020.0,2020.0,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,35-44 years,35-44,13.0,2649160.0,Unreliable
177,,Florida,12.0,2020.0,2020.0,"Breast, unspecified - Malignant neoplasms",C50.9,25-34 years,25-34,29.0,2818471.0,1
178,,Florida,12.0,2020.0,2020.0,"Breast, unspecified - Malignant neoplasms",C50.9,35-44 years,35-44,113.0,2649160.0,4.3
179,,Florida,12.0,2020.0,2020.0,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,25-34 years,25-34,13.0,2818471.0,Unreliable
180,,Florida,12.0,2020.0,2020.0,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,35-44 years,35-44,49.0,2649160.0,1.8
181,,Florida,12.0,2020.0,2020.0,Malignant neoplasm of ovary,C56,35-44 years,35-44,12.0,2649160.0,Unreliable
182,,Florida,12.0,2020.0,2020.0,"Testis, unspecified - Malignant neoplasms",C62.9,25-34 years,25-34,11.0,2818471.0,Unreliable
183,,Florida,12.0,2020.0,2020.0,"Malignant neoplasm of kidney, except renal pelvis",C64,35-44 years,35-44,11.0,2649160.0,Unreliable
184,,Florida,12.0,2020.0,2020.0,"Brain, unspecified - Malignant neoplasms",C71.9,5-14 years,14-May,16.0,2390568.0,Unreliable
185,,Florida,12.0,2020.0,2020.0,"Brain, unspecified - Malignant neoplasms",C71.9,15-24 years,15-24,10.0,2466792.0,Unreliable
186,,Florida,12.0,2020.0,2020.0,"Brain, unspecified - Malignant neoplasms",C71.9,25-34 years,25-34,19.0,2818471.0,Unreliable
187,,Florida,12.0,2020.0,2020.0,"Brain, unspecified - Malignant neoplasms",C71.9,35-44 years,35-44,42.0,2649160.0,1.6
188,,Florida,12.0,2020.0,2020.0,Malignant neoplasm without specification of site,C80,25-34 years,25-34,11.0,2818471.0,Unreliable
189,,Florida,12.0,2020.0,2020.0,Malignant neoplasm without specification of site,C80,35-44 years,35-44,29.0,2649160.0,1.1
190,,Florida,12.0,2020.0,2020.0,Acute lymphoblastic leukaemia - Malignant neoplasms,C91.0,15-24 years,15-24,11.0,2466792.0,Unreliable
191,,Florida,12.0,2020.0,2020.0,Acute lymphoblastic leukaemia - Malignant neoplasms,C91.0,35-44 years,35-44,13.0,2649160.0,Unreliable
192,,Florida,12.0,2020.0,2020.0,Acute myeloid leukaemia - Malignant neoplasms,C92.0,25-34 years,25-34,11.0,2818471.0,Unreliable
193,,Florida,12.0,2020.0,2020.0,Acute myeloid leukaemia - Malignant neoplasms,C92.0,35-44 years,35-44,24.0,2649160.0,0.9
